0,1,2,3,4,5,6
15,14,2,12,23,15,14
16,7,2,12,23,15,14
11,24,2,12,23,15,14
23,11,2,12,23,15,14
7,3,2,12,23,15,14
5,9,2,12,23,15,14
15,5,2,12,23,15,14
16,17,2,12,23,15,14
21,20,2,12,23,15,14
19,11,2,12,23,15,14
10,7,2,12,23,15,14
1,7,2,12,23,15,14
2,3,2,12,23,15,14
10,10,2,12,23,15,14
10,23,2,12,23,15,14
13,14,2,12,23,15,14
17,10,2,12,23,15,14
15,0,2,12,23,15,14
10,5,2,12,23,15,14
20,16,2,12,23,15,14
7,4,2,12,23,15,14
9,23,2,12,23,15,14
10,18,2,12,23,15,14
8,24,2,12,23,15,14
18,20,2,12,23,15,14
6,9,2,12,23,15,14
19,2,2,12,23,15,14
23,24,2,12,23,15,14
16,16,2,12,23,15,14
21,19,2,12,23,15,14
7,6,2,12,23,15,14
14,8,2,12,23,15,14
15,16,2,12,23,15,14
5,7,2,12,23,15,14
10,0,2,12,23,15,14
15,3,2,12,23,15,14
7,24,2,12,23,15,14
8,10,2,12,23,15,14
4,18,2,12,23,15,14
6,12,2,12,23,15,14
24,19,2,12,23,15,14
22,23,2,12,23,15,14
15,13,2,12,23,15,14
19,14,2,12,23,15,14
3,5,2,12,23,15,14
12,11,2,12,23,15,14
19,12,2,12,23,15,14
9,4,2,12,23,15,14
0,11,2,12,23,15,14
14,2,2,12,23,15,14
7,0,2,12,23,15,14
2,7,2,12,23,15,14
3,9,2,12,23,15,14
12,18,2,12,23,15,14
6,4,2,12,23,15,14
21,18,2,12,23,15,14
12,9,2,12,23,15,14
24,10,2,12,23,15,14
15,6,2,12,23,15,14
4,6,2,12,23,15,14
24,4,2,12,23,15,14
6,13,2,12,23,15,14
14,19,2,12,23,15,14
12,13,2,12,23,15,14
16,18,2,12,23,15,14
12,5,2,12,23,15,14
0,3,2,12,23,15,14
13,13,2,12,23,15,14
0,20,2,12,23,15,14
18,16,2,12,23,15,14
18,24,2,12,23,15,14
17,8,2,12,23,15,14
6,5,2,12,23,15,14
14,12,2,12,23,15,14
10,2,2,12,23,15,14
23,2,2,12,23,15,14
24,1,2,12,23,15,14
20,1,2,12,23,15,14
17,18,2,12,23,15,14
11,8,2,12,23,15,14
9,2,2,12,23,15,14
22,7,2,12,23,15,14
2,2,2,12,23,15,14
10,3,2,12,23,15,14
0,0,2,12,23,15,14
4,8,2,12,23,15,14
11,23,2,12,23,15,14
13,6,2,12,23,15,14
11,9,2,12,23,15,14
20,6,2,12,23,15,14
11,0,2,12,23,15,14
6,16,2,12,23,15,14
10,20,2,12,23,15,14
16,20,2,12,23,15,14
2,0,2,12,23,15,14
19,19,2,12,23,15,14
18,1,2,12,23,15,14
8,0,2,12,23,15,14
18,7,2,12,23,15,14
17,0,2,12,23,15,14
