#,...,Please enter your *Prolific ID*,Game Understanding Quiz: Question 1,Game Understanding Quiz: Question 2,Game Understanding Quiz: Question 3,Game Understanding Quiz: Question 4,Counterfactual Quiz: Question 1 ,Counterfactual Quiz: Question 2,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,Agent A,Agent B,I don't know,Agent A,Agent B,I don't know,Explanations helped me understand the agent's behavior.,Explanations of how the agents operate are satisfying.,Explanations are sufficiently detailed.,Explanations are sufficiently complete.,"Explanations are actionable, that is, help me know how to use the agent.",Explanations let me know how reliable the agent is.,Explanations let me know how trustworthy agent is.,Start Date (UTC),Submit Date (UTC),Network ID,Tags
l4pk0a5hqibril4w8ycd5iuqhvpucmea,1,643586e85e731b5eec977508,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,DOWN,,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,DOWN,,,,,,DOWN,,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,3,4,4,4,4,5,4,2023-09-21 10:14:10,2023-09-21 10:56:21,444faa488c,
4addpoe7enixrut264adjn387m2mosjq,1,5b258c9ba7cee100011d8aad,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,,,CHOP,,,,,,,SHOOT,Agent A,,,Agent A,,,4,4,3,3,4,4,2,2023-09-21 10:31:36,2023-09-21 10:43:22,c9b4f71c4a,
oliat65lpirq3cj9cxnttoliat65loaw,1,5c7eb988ac63960015004d03,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,3,3,4,3,3,4,2,2023-09-21 10:20:12,2023-09-21 10:34:17,2965eb6bd6,
sycskcey7b3pjpcxx1m2sycst90rzna3,1,5c4b4d5c2cfe4d00018485cc,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,Agent A,,,4,4,3,3,5,4,4,2023-09-21 10:01:19,2023-09-21 10:30:41,56f7b1510d,
szb2nmbhrpipodinszbrojmj2y2wxokj,1,6441795624090301ddeba81e,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,4,4,5,5,4,4,5,2023-09-21 10:14:43,2023-09-21 10:25:30,90e4acd878,
taor6mowze61w3c5taor61uk3v4zuf57,1,629f2dccc6e91be06559e2f1,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,Agent A,,,5,5,5,5,5,5,3,2023-09-21 10:15:20,2023-09-21 10:21:54,5f9613003e,
6skf7rcrarvu2xyz6skf7vde8a8j67rj,1,5bb7b83ab791890001f4fd90,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,,,,SHOOT,DOWN,,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,3,4,4,2,5,2,2,2023-09-21 10:00:39,2023-09-21 10:18:07,14877d53ff,
b4yel1z2g9v8qcr6pxu1ob4yel1uflp4,1,5c9d88bb2b3c77001744ec1c,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,,,CHOP,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,,,I don't know,4,3,3,3,4,5,5,2023-09-21 10:03:31,2023-09-21 10:15:30,9c4265af8f,
2e0hvhy06a1yxw1awno2e0hvho4xyxe7,1,5f6b8c1f5622370b0c94d597,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,UP,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,DOWN,,,,,,DOWN,,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,,,CHOP,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,2,2,1,1,2,2,2,2023-09-21 10:00:42,2023-09-21 10:14:45,1ebce2e532,
8cjhhdy8dxrywiqqtg18cjhh0wnq1bn7,1,62b3491fc3790d748d09dc12,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,DOWN,,,,,,,UP,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,,,CHOP,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,4,4,3,4,4,3,4,2023-09-21 10:01:21,2023-09-21 10:13:50,2ae8d60b31,
